objective,Scored Labels
36341,36645.04688
36363,36736.25
36395,36679.75781
36405,36897.18359
36406,36490.82422
36421,36539.40625
36431,36695.69141
36437,36435.87891
36451,36451.4375
37259,36381.36719
36458,36459.34375
37738,36480.11719
36469,36468.26172
36480,36198.10156
36480,36672.02734
36490,36626.08594
36491,36740.76563
36501,36573.42969
36507,36548.94141
36512,36512.51953
36520,36522.38281
36526,36526.87891
36532,36681.43359
36539,36338.95313
36539,36600.78516
36540,36542.71484
36549,36550.52734
36556,36504.16406
36563,36316.30078
36565,36086.40234
36568,36571.01953
36568,37166.95703
36569,35208.28906
36576,36566.66797
36578,37311.85156
36586,37490.20313
36587,36837.35938
36588,36663.70313
36594,36614.16016
36598,36526.1875
36598,36532.14453
36600,36426.64453
36606,36807.1875
36610,36610.35156
36616,36722.47656
36617,36620.38281
36617,36623.08203
37579,36620.38281
36621,36621.46484
37205,36545.34375
36623,36613.94141
36623,36592.05078
36624,36625.48828
36625,36619.16797
36635,36632.60547
38147,36440.55859
36638,36629.72656
36640,36599.18359
36640,37248.43359
36640,36540.29688
36644,37101.42578
36646,36644.66016
36648,36647.66406
36652,37127.44922
36655,36661.50391
36655,36654.19531
38239,36383.10156
36664,36662.80859
36669,36629.875
36672,36670.9375
36674,36612.35156
36675,36675.05859
36682,36681.86328
36686,36690.35938
36686,36895.20703
36689,36669.32813
39735,37580.41016
36689,36692.15625
36693,36695.92969
36698,37085.09375
36698,36699.53125
36699,36698.46094
38569,36692.78516
36701,36914.08594
36701,36962.73047
36702,37306.32422
36704,36699.51172
36711,36715.19922
36718,36711.42969
36719,36718.41406
36721,36616.12891
36722,36723.36719
36724,36724.33203
36725,36734.71484
36725,36725.45313
36726,36726.52344
37344,36329.86719
36728,36728.58594
36731,37030.53516
36733,36733.07813
